ENSG00000162482,4,AKR7A3
ENSG00000053371,8,AKR7A2
ENSG00000200403,1,U6
ENSG00000040487,8,PQLC2
ENSG00000077549,11,CAPZB
ENSG00000240490,1,AL445163.1
ENSG00000201609,1,U4
ENSG00000239027,1,snoU13
ENSG00000235185,1,RP5-1056L3.1
ENSG00000173436,9,MINOS1
ENSG00000226396,1,RP5-1056L3.3
ENSG00000158747,9,NBL1
ENSG00000158748,3,HTR6
ENSG00000162542,8,TMCO4
ENSG00000178828,5,RNF186
ENSG00000235434,1,RP11-91K11.2
ENSG00000169914,5,OTUD3
ENSG00000188784,4,PLA2G2E
ENSG00000242688,1,AL358253.1
ENSG00000188257,6,PLA2G2A
ENSG00000127472,6,PLA2G5
ENSG00000117215,10,PLA2G2D
ENSG00000158786,4,PLA2G2F
ENSG00000227066,1,RP3-340N1.2
ENSG00000187980,6,PLA2G2C
ENSG00000225986,1,RP3-340N1.5
ENSG00000162543,5,UBXN10
ENSG00000228105,1,RP3-340N1.6
ENSG00000158816,10,VWA5B1
ENSG00000226664,1,RP4-745E8.2
ENSG00000236963,1,RP4-749H3.1
ENSG00000226487,1,RP4-749H3.2
ENSG00000162545,5,CAMK2N1
ENSG00000090432,5,MUL1
ENSG00000215520,3,RP11-401M16.3
ENSG00000183114,6,FAM43B
ENSG00000158825,5,CDA
ENSG00000158828,5,PINK1
ENSG00000117242,7,PINK1-AS
ENSG00000257033,1,AL391357.1
ENSG00000244038,2,DDOST
ENSG00000117245,7,KIF17
ENSG00000235432,1,RP5-930J4.5
ENSG00000189410,7,SH2D5
ENSG00000233069,1,RP5-930J4.2
ENSG00000127483,12,HP1BP3
ENSG00000203394,2,RP5-930J4.4
ENSG00000075151,13,EIF4G3
ENSG00000251914,1,U7
ENSG00000221808,1,MIR1256
ENSG00000233072,1,RP11-487E1.1
ENSG00000236073,1,RP11-487E1.2
ENSG00000235112,1,RP11-628K18.1
ENSG00000117298,10,ECE1
ENSG00000236936,1,RP3-329E20.2
ENSG00000231105,1,RP5-1071N3.1
ENSG00000236216,4,PPP1R11P1
ENSG00000228823,1,RP11-293F5.8
ENSG00000243358,1,AL592309.1
ENSG00000236009,1,RP11-293F5.1
ENSG00000227001,2,NBPF2P
ENSG00000187952,7,HS6ST1P1
ENSG00000186543,7,RP11-293F5.4
ENSG00000142794,11,NBPF3
ENSG00000176378,7,PFN1P10
ENSG00000162551,9,ALPL
ENSG00000233431,1,RP11-63N8.3
ENSG00000221781,1,AL359815.1
ENSG00000076864,12,RAP1GAP
ENSG00000090686,11,USP48
ENSG00000231978,1,RP11-132G19.3
ENSG00000187942,7,LDLRAD2
ENSG00000142798,11,HSPG2
ENSG00000232037,2,RP11-26H16.1
ENSG00000219073,3,CELA3B
ENSG00000241329,1,AL590556.1
ENSG00000201919,1,U6
ENSG00000142789,14,CELA3A
ENSG00000243734,1,AL590556.2
ENSG00000201273,1,U6
ENSG00000228397,1,RP1-224A6.3
ENSG00000218510,3,LINC00339
ENSG00000070831,11,CDC42
ENSG00000230068,1,CDC42-IT1
ENSG00000162552,8,WNT4
ENSG00000234397,3,RP11-415K20.1
ENSG00000184677,11,ZBTB40
ENSG00000237200,1,ZBTB40-IT1
ENSG00000070886,6,EPHA8
ENSG00000173372,11,C1QA
ENSG00000159189,7,C1QC
ENSG00000173369,11,C1QB
ENSG00000133216,11,EPHB2
ENSG00000216157,1,AL611946.1
ENSG00000225952,1,RP11-69E9.1
ENSG00000215906,3,LACTBL1
ENSG00000227868,2,RP4-805N21.1
ENSG00000004487,10,KDM1A
ENSG00000240553,1,RP1-184J9.2
ENSG00000169641,9,LUZP1
ENSG00000229010,1,RP5-979D14.1
ENSG00000206935,1,U6
ENSG00000252578,1,U6
